time_s,time_end_s,rank,contributor,key,value,unit,fraction,cumulative_fraction,flags
86400,,1,I-135,531350,9156733.388556877,R/h,0.126567286864504,0.126567286864504,0
86400,,2,I-132,531320,8681188.589197267,R/h,0.11999415510632831,0.2465614419708323,0
86400,,3,Nb-97,410970,8102906.7567621255,R/h,0.1120009593378661,0.3585624013086984,0
86400,,4,Nb-97m,410971,7834516.588909506,R/h,0.10829118491015738,0.46685358621885575,0
86400,,5,I-133,531330,7740953.575861361,R/h,0.10699792712816596,0.5738515133470217,0
86400,,6,Sr-91,380910,6275851.585289056,R/h,0.08674682053176154,0.6605983338787832,0
86400,,7,Xe-135,541350,4280905.465367184,R/h,0.05917203953454234,0.7197703734133255,0
86400,,8,Ce-143,581430,3285479.651307884,R/h,0.04541294672117913,0.7651833201345046,0
