time_s,time_end_s,rank,contributor,key,value,unit,fraction,cumulative_fraction,flags
60,,1,La-144,571440,38919577400.97762,R/h,0.10844071118992009,0.10844071118992009,1
60,,2,Rb-91,370910,29254823789.42904,R/h,0.0815120335140584,0.1899527447039785,1
60,,3,Cs-140,551400,23820917144.299736,R/h,0.06637166610804816,0.25632441081202667,0
60,,4,Sr-94,380940,18090323555.42309,R/h,0.050404646787263606,0.30672905759929026,0
60,,5,Kr-90,360900,15282289063.078604,R/h,0.042580685744253575,0.3493097433435438,0
60,,6,Br-87,350870,13932628544.042204,R/h,0.038820158104362304,0.3881299014479061,0
60,,7,Xe-139,541390,12671964699.397638,R/h,0.03530759982357168,0.4234375012714778,0
60,,8,I-136,531360,12267110614.887121,R/h,0.034179564326162565,0.45761706559764037,0
77.63349100249894,,1,La-144,571440,29895071672.470707,R/h,0.10646988798192869,0.10646988798192869,1
77.63349100249894,,2,Rb-91,370910,23903021789.86645,R/h,0.08512948489567383,0.19159937287760254,1
77.63349100249894,,3,Cs-140,551400,20327102059.32672,R/h,0.07239401540711822,0.26399338828472074,0
77.63349100249894,,4,Sr-94,380940,15379854268.71599,R/h,0.054774625701148126,0.31876801398586885,0
77.63349100249894,,5,Br-87,350870,11189721680.83691,R/h,0.03985166608597741,0.35861968007184625,0
77.63349100249894,,6,I-136,531360,11022385882.00359,R/h,0.039255707529585765,0.39787538760143204,0
77.63349100249894,,7,Kr-90,360900,10470061869.03925,R/h,0.03728863160368341,0.43516401920511544,0
77.63349100249894,,8,Br-86,350860,10021869217.91306,R/h,0.03569241461238341,0.47085643381749887,0
100.4493154205847,,1,La-144,571440,20679602317.00103,R/h,0.09578137214120869,0.09578137214120869,1
100.4493154205847,,2,Rb-91,370910,18276431429.83696,R/h,0.08465064527644946,0.18043201741765813,1
100.4493154205847,,3,Cs-140,551400,16160830400.29606,R/h,0.07485185096664827,0.2552838683843064,0
100.4493154205847,,4,Sr-94,380940,12466382106.875109,R/h,0.05774033588892881,0.3130242042732352,0
100.4493154205847,,5,I-136,531360,9363564265.276386,R/h,0.04336906579307098,0.35639327006630617,0
100.4493154205847,,6,Br-87,350870,8422197867.238949,R/h,0.03900895461155534,0.3954022246778615,0
100.4493154205847,,7,Kr-89,360890,8297612551.984639,R/h,0.03843191486674881,0.4338341395446103,0
100.4493154205847,,8,Rb-90,370900,8170774333.864293,R/h,0.03784444038898649,0.4716785799335968,1
129.9705170818524,,1,Rb-91,370910,12881245820.56395,R/h,0.07910594991571743,0.07910594991571743,1
129.9705170818524,,2,La-144,571440,12624891898.042423,R/h,0.07753163630986173,0.15663758622557916,1
129.9705170818524,,3,Cs-140,551400,11822516355.568293,R/h,0.07260410986088847,0.22924169608646763,0
129.9705170818524,,4,Sr-94,380940,9499970955.270739,R/h,0.05834095840238502,0.2875826544888527,0
129.9705170818524,,5,Rb-90,370900,7790727099.450817,R/h,0.047844197395279356,0.335426851884132,1
129.9705170818524,,6,Kr-89,360890,7446174975.772583,R/h,0.04572824344030304,0.38115509532443503,0
129.9705170818524,,7,I-136,531360,7437256330.0428505,R/h,0.04567347250026819,0.42682856782470324,0
129.9705170818524,,8,Sr-93,380930,6381515186.998444,R/h,0.03918998424540491,0.46601855207010817,1
168.1677494744021,,1,Rb-91,370910,8186504847.464009,R/h,0.06774812727457857,0.06774812727457857,1
168.1677494744021,,2,Cs-140,551400,7825126889.429155,R/h,0.06475751279973871,0.13250564007431728,0
168.1677494744021,,3,Rb-90,370900,6970673033.611671,R/h,0.0576864061855272,0.19019204625984448,1
168.1677494744021,,4,Sr-94,380940,6683740588.673103,R/h,0.05531187197818157,0.24550391823802606,0
168.1677494744021,,5,La-144,571440,6614367616.46657,R/h,0.05473776996052748,0.30024168819855357,1
168.1677494744021,,6,Kr-89,360890,6472835142.053669,R/h,0.053566505755757415,0.35380819395431096,0
168.1677494744021,,7,Sr-93,380930,6013212622.080602,R/h,0.049762859931123976,0.4035710538854349,1
168.1677494744021,,8,I-136,531360,5451362416.239365,R/h,0.04511322007091284,0.44868427395634775,0
217.59082442885827,,1,Rb-90,370900,5806725521.383484,R/h,0.06524869277024928,0.06524869277024928,1
217.59082442885827,,2,Sr-93,380930,5568032545.822309,R/h,0.0625665607198442,0.12781525349009348,1
217.59082442885827,,3,Kr-89,360890,5399777677.026913,R/h,0.0606759236989103,0.18849117718900377,0
217.59082442885827,,4,Cs-140,551400,4573380143.966298,R/h,0.051389905521850514,0.2398810827108543,0
217.59082442885827,,5,Rb-91,370910,4553482334.788332,R/h,0.05116631891816603,0.2910474016290203,1
217.59082442885827,,6,Sr-94,380940,4240712866.7365327,R/h,0.04765180822643905,0.33869920985545937,0
217.59082442885827,,7,Sb-132,511320,3644136630.207619,R/h,0.040948233306639444,0.3796474431620988,0
217.59082442885827,,8,I-136,531360,3623442056.981704,R/h,0.04071569366868744,0.42036313683078624,0
281.53892184206836,,1,Sr-93,380930,5040569218.397214,R/h,0.07650566752494706,0.07650566752494706,1
281.53892184206836,,2,Rb-90,370900,4465292708.50619,R/h,0.06777413116591867,0.1442797986908657,1
281.53892184206836,,3,Kr-89,360890,4270930102.4927363,R/h,0.06482409908210655,0.20910389777297228,0
281.53892184206836,,4,Sb-132,511320,2830288634.4738173,R/h,0.04295806919551496,0.25206196696848726,0
